company_id,type,rule_id,text,confidence_pct
COMP01,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP01,pro,PRO_RULE_8,Consistent dividend yield above 2% backed by positive free cash flow,80
COMP01,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP01,con,CON_RULE_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
COMP02,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP02,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP02,con,CON_RULE_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
COMP02,con,CON_RULE_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
COMP03,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP03,pro,PRO_RULE_8,Consistent dividend yield above 2% backed by positive free cash flow,80
COMP03,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP03,con,CON_BASE_1,Subject to macroeconomic headwinds and competitive market dynamics,70
COMP04,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP04,pro,PRO_RULE_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
COMP04,pro,PRO_RULE_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
COMP04,pro,PRO_RULE_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
COMP04,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP04,con,CON_RULE_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
COMP05,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP05,pro,PRO_RULE_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
COMP05,pro,PRO_RULE_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COMP05,pro,PRO_RULE_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
COMP05,pro,PRO_RULE_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
COMP05,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP05,con,CON_BASE_1,Subject to macroeconomic headwinds and competitive market dynamics,70
COMP06,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP06,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP06,con,CON_RULE_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
COMP06,con,CON_RULE_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
COMP07,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP07,pro,PRO_RULE_8,Consistent dividend yield above 2% backed by positive free cash flow,80
COMP07,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP07,con,CON_RULE_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
COMP08,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP08,pro,PRO_RULE_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
COMP08,con,CON_RULE_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
COMP09,pro,PRO_RULE_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COMP09,pro,PRO_RULE_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
